id,givenName,surname,fullName,female,male,dateOfBirth,dateOfDeath
0-0,Anthony,Blanchard,Anthony Blanchard,false,true,1923-07-14,2005-01-09
0-1,Angela,Blanchard,Angela Blanchard,true,false,1917-01-06,1990-06-07
0-10,Jennifer,Blanchard,Jennifer Blanchard,true,false,1945-08-20,
0-100,Lisa2,Blanchard,Lisa2 Blanchard,true,false,1969-01-06,
0-1005,Ashley5,Blanchard,Ashley5 Blanchard,true,false,1983-06-14,
0-101,Natalie,Barton,Natalie Barton,true,false,1984-10-21,
0-1014,Amanda4,Blanchard,Amanda4 Blanchard,true,false,1989-02-01,
0-102,Brian,Blanchard,Brian Blanchard,false,true,1986-02-12,
0-1022,Lauren2,Blanchard,Lauren2 Blanchard,true,false,1983-02-01,
0-103,Gabrielle,Carter,Gabrielle Carter,true,false,1986-03-01,
0-1031,Chelsea,Blanchard,Chelsea Blanchard,true,false,1983-11-27,
0-1039,Tyler,Rowe,Tyler Rowe,false,true,1984-01-24,
0-104,Amanda2,Perry,Amanda2 Perry,true,false,1986-07-11,
0-1045,Lisa5,Blanchard,Lisa5 Blanchard,true,false,1983-08-01,
0-105,Joan,Lewis,Joan Lewis,true,false,1988-10-15,
0-1050,Matthew,Coleman,Matthew Coleman,false,true,1993-10-18,
0-1054,Julia2,Blanchard,Julia2 Blanchard,true,false,1983-01-21,
0-1057,Matthew,Brooks,Matthew Brooks,false,true,1984-02-11,
0-106,Ralph,Blanchard,Ralph Blanchard,false,true,1990-02-08,
0-1060,Eric,Morgan,Eric Morgan,false,true,1989-08-07,
0-1064,Andrew,Sloan,Andrew Sloan,false,true,1984-07-02,
0-107,Natalie2,Lee,Natalie2 Lee,true,false,1992-01-25,
0-1073,Linda3,Blanchard,Linda3 Blanchard,true,false,1990-12-23,
0-1079,Thomas,Lozano,Thomas Lozano,false,true,1986-11-12,
0-108,Perry,Winters,Perry Winters,false,true,1965-03-20,
0-1088,Eric,Carrillo,Eric Carrillo,false,true,1992-11-22,
0-109,Shannon,Jacobs,Shannon Jacobs,true,false,1984-01-28,
0-1091,Andre,Becker,Andre Becker,false,true,1993-08-14,
0-1098,Wayne,Skinner,Wayne Skinner,false,true,1993-03-07,
0-11,Nathan,Blanchard,Nathan Blanchard,false,true,1965-08-01,
0-110,Michael,Winters,Michael Winters,false,true,1992-08-10,
0-1105,Christopher,Hancock,Christopher Hancock,false,true,1992-07-10,
0-111,Darius,Kennedy,Darius Kennedy,false,true,1967-12-04,
0-1112,James,Salas,James Salas,false,true,1984-09-28,
0-1113,Danny,Matthews,Danny Matthews,false,true,1987-04-23,
0-112,Matthew,Kennedy,Matthew Kennedy,false,true,1983-05-19,
0-1122,Mary4,Blanchard,Mary4 Blanchard,true,false,1988-10-04,
0-1127,Scott,Schneider,Scott Schneider,false,true,1983-11-04,
0-113,Emily,Riley,Emily Riley,true,false,1985-06-21,
0-1134,Stephen,Brady,Stephen Brady,false,true,1989-10-14,
0-114,Brian,Kennedy,Brian Kennedy,false,true,1985-10-26,
0-1142,Donald,Walton,Donald Walton,false,true,1986-12-05,
0-1147,Brandy,Blanchard,Brandy Blanchard,true,false,1983-07-03,
0-115,Jo,Padilla,Jo Padilla,true,false,1987-01-07,
0-1155,Hannah,Blanchard,Hannah Blanchard,true,false,1987-09-04,
0-1158,Brian,York,Brian York,false,true,1984-09-10,
0-1159,Teresa,Blanchard,Teresa Blanchard,true,false,1990-12-27,
0-116,Shelly,Taylor,Shelly Taylor,true,false,1987-10-04,
0-1167,Kelsey2,Blanchard,Kelsey2 Blanchard,true,false,1993-01-06,
0-117,Cameron,Kennedy,Cameron Kennedy,false,true,1988-11-26,
0-1170,Christopher,Greer,Christopher Greer,false,true,1987-12-02,
0-1179,Lee,Carr,Lee Carr,false,true,1985-02-23,
0-118,James,Richards,James Richards,false,true,1961-07-12,
0-1185,Laurie2,Blanchard,Laurie2 Blanchard,true,false,1984-04-04,
0-119,Kayla,Craig,Kayla Craig,true,false,1985-10-02,
0-1192,Lisa7,Blanchard,Lisa7 Blanchard,true,false,1987-03-07,
0-12,Zachary,Blanchard,Zachary Blanchard,false,true,1969-06-21,
0-120,Charles,Richards,Charles Richards,false,true,1986-07-24,
0-1200,Gordon,Cochran,Gordon Cochran,false,true,1991-11-18,
0-1205,Nicole4,Blanchard,Nicole4 Blanchard,true,false,1984-09-02,
0-1209,Lonnie,Simmons,Lonnie Simmons,false,true,1985-07-07,
0-121,Tina,Navarro,Tina Navarro,true,false,1987-08-21,
0-1215,Matthew,Martin,Matthew Martin,false,true,1992-09-08,
0-122,Larry,Green,Larry Green,false,true,1966-03-19,
0-1224,Elizabeth,White,Elizabeth White,true,false,1993-10-18,
0-1229,Patricia,White,Patricia White,true,false,1985-02-06,
0-123,Jason,Green,Jason Green,false,true,1985-05-09,
0-1232,Leah,Page,Leah Page,true,false,1985-10-24,
0-1239,Michael,Miranda,Michael Miranda,false,true,1988-12-20,
0-124,Albert,Green,Albert Green,false,true,1985-11-12,
0-1246,Alicia,Page,Alicia Page,true,false,1987-11-16,
0-125,Justin,Green,Justin Green,false,true,1985-11-25,
0-1252,Adam,Poole,Adam Poole,false,true,1993-11-26,
0-1255,Tricia,Page,Tricia Page,true,false,1989-11-02,
0-1259,Rhonda,Page,Rhonda Page,true,false,1985-10-06,
0-126,Brenda,Meza,Brenda Meza,true,false,1987-04-03,
0-1265,Kelly,Glover,Kelly Glover,false,true,1985-10-03,
0-1269,Bryan,Jenkins,Bryan Jenkins,false,true,1992-08-28,
0-127,Anthony,Green,Anthony Green,false,true,1990-06-03,
0-1277,Briana,Christian,Briana Christian,true,false,1988-11-21,
0-128,Amanda,Fernandez,Amanda Fernandez,true,false,1990-09-01,
0-1284,Stacy,Christian,Stacy Christian,true,false,1988-10-22,
0-129,Christopher,Green,Christopher Green,false,true,1991-08-18,
0-1290,David,Baker,David Baker,false,true,1991-07-26,
0-1298,Gloria,Christian,Gloria Christian,true,false,1987-03-18,
0-13,Kimberly,Blanchard,Kimberly Blanchard,true,false,1942-10-27,2025-12-01
0-130,Anne,Kline,Anne Kline,true,false,1992-06-23,
0-1307,Scott,Avila,Scott Avila,false,true,1987-05-27,
0-131,Jordan,Reid,Jordan Reid,false,true,1967-03-13,
0-1313,Gerald,Schroeder,Gerald Schroeder,false,true,1983-03-28,
0-1319,Linda,Cummings,Linda Cummings,true,false,1989-03-24,
0-132,William,Reid,William Reid,false,true,1984-09-21,
0-1326,Andrew,Vega,Andrew Vega,false,true,1983-06-02,
0-133,Timothy,Reid,Timothy Reid,false,true,1989-06-09,
0-1331,Victor,Nash,Victor Nash,false,true,1988-02-04,
0-134,David,Vang,David Vang,false,true,1961-05-13,
0-1340,Nicholas,Ferguson,Nicholas Ferguson,false,true,1984-03-01,
0-1348,Nicole,Harding,Nicole Harding,true,false,1987-01-08,
0-135,Jill,Melendez,Jill Melendez,true,false,1984-07-18,
0-1355,Alejandro,Pacheco,Alejandro Pacheco,false,true,1984-04-11,
0-136,Danielle,Tapia,Danielle Tapia,true,false,1984-11-27,
0-1364,Christina2,Harding,Christina2 Harding,true,false,1987-07-03,
0-137,Kevin,Vang,Kevin Vang,false,true,1990-03-06,
0-1371,Holly,Harding,Holly Harding,true,false,1991-07-13,
0-1378,Kimberly,Harding,Kimberly Harding,true,false,1993-02-21,
0-138,Robert,Weber,Robert Weber,false,true,1969-07-27,
0-1382,David,Murphy,David Murphy,false,true,1983-10-15,
0-1383,Jason,Sanchez,Jason Sanchez,false,true,1984-11-27,
0-1386,Aaron,Collins,Aaron Collins,false,true,1985-08-20,
0-139,Michael,Weber,Michael Weber,false,true,1985-04-01,
0-1392,Michael,Moreno,Michael Moreno,false,true,1990-09-02,
0-1397,Philip,Hughes,Philip Hughes,false,true,1988-05-03,
0-14,Jill,Brown,Jill Brown,true,false,1965-01-22,
0-140,Dawn,Carroll,Dawn Carroll,true,false,1990-01-08,
0-1401,Mary,Garner,Mary Garner,true,false,1985-01-02,
0-1405,Lisa2,Garner,Lisa2 Garner,true,false,1988-09-12,
0-141,Jay,Weber,Jay Weber,false,true,1990-12-26,
0-1412,Natalie2,Garner,Natalie2 Garner,true,false,1988-06-27,
0-142,Joseph,Weber,Joseph Weber,false,true,1991-11-25,
0-143,Aaron,Weber,Aaron Weber,false,true,1991-12-24,
0-144,Amanda,Richmond,Amanda Richmond,true,false,1993-12-08,
0-145,Ashley,Blanchard,Ashley Blanchard,true,false,1965-10-26,
0-146,Misty,Bailey,Misty Bailey,true,false,1983-10-11,
0-147,David,Blanchard,David Blanchard,false,true,1984-03-16,
0-148,Brett,Blanchard,Brett Blanchard,false,true,1986-05-16,
0-149,Christopher3,Blanchard,Christopher3 Blanchard,false,true,1986-09-28,
0-15,Debra,Gilmore,Debra Gilmore,true,false,1965-07-23,
0-150,Crystal,Davis,Crystal Davis,true,false,1987-05-20,
0-151,Claudia,Rivera,Claudia Rivera,true,false,1989-08-17,
0-152,Joseph2,Blanchard,Joseph2 Blanchard,false,true,1993-01-12,
0-153,Emily2,Blanchard,Emily2 Blanchard,true,false,1966-04-09,
0-154,Maria,Turner,Maria Turner,true,false,1988-10-10,
0-155,Christy,Bruce,Christy Bruce,true,false,1991-04-15,
0-156,Susan,Willis,Susan Willis,true,false,1991-08-11,
0-157,Victor,Blanchard,Victor Blanchard,false,true,1993-08-01,
0-158,Jessica,Blanchard,Jessica Blanchard,true,false,1970-06-09,
0-159,Jorge,Blanchard,Jorge Blanchard,false,true,1987-11-11,
0-16,Andrew,Blanchard,Andrew Blanchard,false,true,1971-07-26,
0-160,Lauren,Miller,Lauren Miller,true,false,1991-07-18,
0-161,Amber,Duncan,Amber Duncan,true,false,1991-09-13,
